ts_unix_ms,ts_dt_utc,symbol,n_trades_1s,sum_qty_1s,vwap_1s,buy_qty_1s,sell_qty_1s,buy_notional_1s,sell_notional_1s
1771365792729,2026-02-17 22:03:12.729000,SOLUSDT,1,0.06,85.21,0.0,0.06,0.0,5.1126
1771365792729,2026-02-17 22:03:12.729000,BNBUSDT,1,0.15,618.6,0.0,0.15,0.0,92.79
1771365792729,2026-02-17 22:03:12.729000,XRPUSDT,1,53.2,1.4835,0.0,53.2,0.0,78.9222
1771365793740,2026-02-17 22:03:13.740000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365793740,2026-02-17 22:03:13.740000,ETHUSDT,2,2.091,1998.9007173601146,0.015,2.076,29.985,4149.7164
1771365793740,2026-02-17 22:03:13.740000,SOLUSDT,1,4.79,85.21,0.0,4.79,0.0,408.1559
1771365793740,2026-02-17 22:03:13.740000,BNBUSDT,1,0.15,618.6,0.0,0.15,0.0,92.79
1771365793740,2026-02-17 22:03:13.740000,XRPUSDT,1,104.8,1.4835,0.0,104.8,0.0,155.4708
1771365794747,2026-02-17 22:03:14.747000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365794747,2026-02-17 22:03:14.747000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365794747,2026-02-17 22:03:14.747000,SOLUSDT,1,3.28,85.21,3.28,0.0,279.48879999999997,0.0
1771365794747,2026-02-17 22:03:14.747000,BNBUSDT,1,0.5,618.6,0.5,0.0,309.3,0.0
1771365794747,2026-02-17 22:03:14.747000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365795754,2026-02-17 22:03:15.754000,BTCUSDT,1,0.031,67627.2,0.0,0.031,0.0,2096.4431999999997
1771365795754,2026-02-17 22:03:15.754000,ETHUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365795754,2026-02-17 22:03:15.754000,SOLUSDT,1,15.02,85.21,15.02,0.0,1279.8541999999998,0.0
1771365795754,2026-02-17 22:03:15.754000,BNBUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365795754,2026-02-17 22:03:15.754000,XRPUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365796763,2026-02-17 22:03:16.763000,BTCUSDT,0,0.0,,0.0,0.0,0.0,0.0
1771365796763,2026-02-17 22:03:16.763000,ETHUSDT,1,1.195,1998.8999999999999,1.195,0.0,2388.6855,0.0
1771365796763,2026-02-17 22:03:16.763000,SOLUSDT,0,0.0,,0.0,0.0,0.0,0.0
